Who is hosting? Theme Camp or Your name,What shall we call your Event?,"Not a Theme Camp? Please give us a location (art installation, lakeside, effigy, temple.. etc)",Which day(s) will your event take place?,What time will your event start?,What time will your event end?,Select a theme of your event for Pocket Guide!,Description of your play-learn-workshop-event for the Pocket Guide!,"If Materials Are Used, Will You Provide Them?",present_in_forms_events_csv,present_in_forms_grotto_events_csv,present_in_dust_events_csv,prioritized_source
Cult of Pawpaw,Midday Mass,,"Friday, June 5, Saturday, June 6",12:00:00 PM,01:00:00 PM,Event,"Blessed be the fruit! Readings from sacred texts, sermons and libations, and whatever else the spirit moves us to do. We welcome both returning and new congregants, as we explain the purpose of The Cult and our Mission, educate the feeble minds of the non-believers, and give out free stuff you can eat, drink, and grow.",Yes,TRUE,FALSE,FALSE,forms/events.csv
Just People,MIMOSAS & METAL IN THE MORNING,Just People,"Saturday, June 6",11:00:00 AM,12:00:00 PM,Music,"You're invited! Join us Saturday at 11:00 a.m. as Camp Just People hosts its signature morning event — Mimosas & Metal in the Morning!\n\nCome kick back with a perfectly crafted mimosa while our resident DJ, Jazzy Bill D Funk, takes you through an electrifying hour of the finest, most unapologetically loud metal the world has to offer.\n\nExpect a refreshing drink, an unforgettable setlist, and zero chill — except for your mimosa.\n\nBlack tie and an arrogant attitude are entirely optional.",Yes,TRUE,FALSE,TRUE,dust_events.csv
,Misting station and Igloo!,Bear Necessities,"Thursday, June 4, Friday, June 5, Saturday, June 6",12:00:00 PM,05:00:00 PM,Event,will have misters for you to walk through to cool off! We also have an air-conditioned igloo you can go in to hide from the heat and sun!,,FALSE,FALSE,TRUE,dust_events.csv
Twig @ Spectral Subverse,Molten Moments: A Live Glassworking Experience,Spectral Subverse,"Friday, June 5, Saturday, June 6",07:00:00 PM,09:00:00 PM,Performance,"Take a captivating look into flame-worked glass, where fire and artistry converge. Watch raw glass rods transform under intense heat and delicate control into intricate forms. This demo highlights key tools, safety practices, and techniques—revealing how precision and temperature shape the craft. Perfect for newcomers and seasoned creatives, it offers a close-up view of chemistry and creativity in glowing harmony. Stay after to ask questions and explore the tools behind the magic.","This is a showcase, no material gifting guaranteed",TRUE,FALSE,TRUE,dust_events.csv
Summer,Moment of Peace Sober Sesh Burner Meetup,Grotto - Open Community Space,"Thursday, June 4, Friday, June 5, Saturday, June 6, Sunday, June 7",11:00:00 AM,12:00:00 PM,Event,"A chance for all burners who are burning clean, in Recovery, Sober, or even just sober-curious, to meet like-minded burners and check-in with each other. It's a great way to grow your network of support for whatever your path may be. ALL ARE WELCOME!!",Tea/Coffee provided. We might run out of room for everyone to sit on the stage so a blanket/chair might not be a bad idea.,TRUE,TRUE,TRUE,dust_events.csv
Multiple Camps and Artists,Mooney Putt Portals,Swag n Dab,"Thursday, June 4, Friday, June 5, Saturday, June 6, Sunday, June 7",09:00:00 AM,12:00:00 AM,Game,"Mooney Putt Portals\nInterdimensional mini golf experiment\nHow it works\n•	There are 9 portals—visit in any order.\n•	Use the map to hunt them down.\n•	Keep score—weird trophies and shiny prizes lurk.\n•	Claim a sticker. Adorn your self or your stuff.\n•	Putters and balls live at each hole—please leave them in their native realm.\n•	Bring your own freaky putter for a 3 stroke bonus.\n•	Share the magic: don’t whack humans.\n•	Putt, giggle, repeat.\nStep through a portal and play a hole!","Putters, balls, and scorecards will be at each hole. Build and bring your own funky putter for extra glam!",TRUE,FALSE,TRUE,dust_events.csv
Abiding Grove,Morning Coffee & Tea,Abiding Grove,"Thursday, June 4, Friday, June 5, Saturday, June 6, Sunday, June 7",09:30:00 AM,12:30:00 PM,Food,"🛸🐮 Conspiracy Coffee ☕ :\nGive a Conspiracy for every Coffee ☕, a Theory for every Tea 🫖, but the Marie Antoinette cakes are Free 🧁.","Beverages, Cakes , Lounge & Chill vibes.",TRUE,FALSE,TRUE,dust_events.csv
Kamp Khaos,Open Arena!!,Kamp Khaos Arena,"Friday, June 5",07:00:00 PM,11:00:00 PM,Event,"The gates of the Arena open and the Mob goes wild! Gladiator Warz has been released upon the burn! Come on down and beat your opponents senseless in the best adult bopper game of the East coast! Choose helmet, armor, and weapons to get in the ring and DOMINATE!",We provide everything beyond the participants themselves :),TRUE,FALSE,TRUE,dust_events.csv
A Little Bit All Over The Place,open mic,A Little Bit All Over The Place,"Friday, June 5",06:00:00 PM,09:00:00 PM,Event,we will be hosting an open mic while cooking and serving food.,Some instruments provided,TRUE,FALSE,TRUE,dust_events.csv
Fantasy Island,Pho Me Daddy - POWER HOUR!,,"Friday, June 5",09:00:00 PM,11:00:00 PM,Food,"Set sail for Fantasy Island and join us for the ""Pho Me Daddy Power Hour!"" Come dive into a delicious bowl of vegan pho Friday night at 9 PM. Please BYO bowl/utensils. Fantasy Island, we'll be wading.",No,TRUE,FALSE,FALSE,forms/events.csv
The Thifty Pickle,Pickle Back Happy Hour,The Thrifty Pickle,"Friday, June 5, Saturday, June 6",05:00:00 PM,07:00:00 PM,Food,"Come join us for pickle back happy hour! Have a shot of room temp whiskey followed by a shot of our finest ice cold pickle juice while you browse the shop or hang at the bar. We’ll keep the drinks flowing while supplies last, you just bring the cup!",Bring your own cup or leave with a shot glass!,TRUE,FALSE,TRUE,dust_events.csv
,Pole Abiding 101,Abiding Grove,"Friday, June 5",11:00:00 AM,12:30:00 PM,Workshop,"Pole Abiding 101\nFriday • 11:00 AM • ~90 min\nThe Dude way is balance, flow, and not fighting the universe too hard. Join Smooth for a beginner-friendly outdoor pole dance session where style matters less than attitude. Come laugh, move around, and discover that maybe the pole isn't the enemy here. Weather permitting. Bar beverages available because hydration is part of the path.",,FALSE,FALSE,TRUE,dust_events.csv
Cult of Pawpaw,P.R.E.A.C.H.,,"Thursday, June 4",05:00:00 PM,06:00:00 PM,Event,"People Ranting Enthusiastically About Cultish Hobbies

Got a cool hobby? A scorching hot take? A hill you will die on? Take the mic and testify. P.R.E.A.C.H. is an open soapbox to give amplified sound to the passionate and possessed.

Rants, sermons, TED talks, or interpretive dances welcome. You have three minutes to P.R.E.A.C.H. about whatever your own personal cult is about.

No sign-up, just show up and do your thang. Exceptions apply (aka don't be a dick).",Microphone and soapbox,TRUE,FALSE,FALSE,forms/events.csv
Principles Working Group,Principles Round Table,Grotto - Open Community Space,"Friday, June 5",04:00:00 PM,05:00:00 PM,Workshop,Educational workshop discussing the principles.,,FALSE,TRUE,TRUE,dust_events.csv
,Ranger Training,Ranger HQ,"Thursday, June 4, Friday, June 5",05:00:00 PM,06:30:00 PM,Workshop,"This training is intended for anyone with an Alpha Ranger, Dirt Ranger, or Khaki Ranger volunteer shift at ToTheMoon -- or anyone who just wants to learn more about these awesome volunteers. \n\nToTheMoon Rangers team is looking for quite a few volunteers to join their team! Rangers aren’t security or bouncers or police…but they are sober adults in cargo pants and matching shirts that walk the burn and assist in mediation or connecting you with the type of help you may need… These volunteers are extremely important and help keep the burn a safe space for everyone. \n\nNOTE: Please bring your own water bottle, chair/blanket, sun protection, snack, and/or stuffie to the training to exemplify your Radical Self-Reliance.",,FALSE,FALSE,TRUE,dust_events.csv
