"id","title","description","type","location","startTime","endTime","time","shortDay","shortTime","start24","end24"
"23030","Brother Jon's Birthday","Do you know Brother Jon (once known as Beef Supreme,)? Did you know he's a year older as of June 5th? Well, now you do and you are invited to his birthday party. There will be music, booze, snacks, merry making, and Brother Jon.","Food & Drink,Gathering/Party","Heathen Life","2026-06-05T19:00:00","2026-06-05T20:00:00","Friday 7pm-8pm (1hr)","Fri, Jun 5","7pm (1hr)","19:00","20:00"
"23068","Get Glow'd","Humans already bioluminesce, just too softly to see. Let's make it visible. Come reconnect with your inner light through glow in the dark paints. \n\nPaint yourself, paint your clothes, paint your friends. Or adorn with henna for a different kind of glow.","Arts & Crafts","Reconnect Camp","2026-06-05T19:00:00","2026-06-05T20:30:00","Friday 7pm-8:30pm (1.5hrs)","Fri, Jun 5","7pm (1.5hrs)","19:00","20:30"
"23075","Open Arena!!","The gates of the Arena open and the Mob goes wild! Gladiator Warz has been released upon the burn! Come on down and beat your opponents senseless in the best adult bopper game of the East coast! Choose helmet, armor, and weapons to get in the ring and DOMINATE!","Games,Gathering/Party","Kamp Khaos Arena","2026-06-05T19:00:00","2026-06-05T23:00:00","Friday 7pm-11pm (4hrs)","Fri, Jun 5","7pm (4hrs)","19:00","23:00"
"23008","Rockband Karaoke!","Remember Guitar Hero? Rockband Karaoke is like normal karaoke, except all the songs played through the Rockband video game! We have vocals, drums and two guitar controllers to sing+play through the best songs rockband has to offer. Come sign up with your squad, or come solo and we will build a band around you. The best way to experience being in a band without actually needing to know how to play an instrument, guaranteed","Performance","The Green Room","2026-06-05T19:30:00.000","2026-06-05T23:30:00.000","Friday 7:30pm-11:30pm (4hrs)","Fri, Jun 5","7:30pm (4hrs)","19:30","23:30"
"20875","Soup!!!! Soup!!!!","Ever night you can join us for dinner, usually we make delicous soups and stews.  Dinner starts whenever food is done and ends whenever we run out.","Food & Drink","A Little Bit All Over The Place","2026-06-05T20:00:00","2026-06-05T21:00:00","Friday 8pm-9pm (1hr)","Fri, Jun 5","8pm (1hr)","20:00","21:00"
"23093","Make-Your-Own Ramen Bar","Warm up at Wayward Bud’s late-night Make-Your-Own Ramen Bar! Enjoy a wide selection of instant noodles, delicious toppings, and a variety of options to accommodate dietary restrictions and allergies. All self-serve.\n Just bring your own bowl and utensils!","Food & Drink","Wayward Bud","2026-06-05T20:00:00","2026-06-06T02:00:00","Friday 8pm-2am (6hrs)","Fri, Jun 5","8pm (6hrs)","20:00","02:00"
"23045","Haunted House","Come check out our walk through haunted house filled with illusions, animatronics, and live actors.","Miscellaneous,Performance","Big Spooky Energy","2026-06-05T22:00:00","2026-06-06T00:00:00","Friday 10pm-Midnight (2hrs)","Fri, Jun 5","10pm (2hrs)","22:00","00:00"
"23002","The Dude's Cinema","Abiding Grove Walk-In Cinema showing The Big Lebowski and other Dudely movies.\nWe've got beverages and snacks, while you sit back and enjoy some classic cinema. Movies start around 11:00 pm at night.","Performance","Abiding Grove","2026-06-05T23:00:00.000","2026-06-06T02:00:00","Friday 11pm-2am (3hrs)","Fri, Jun 5","11pm (3hrs)","23:00","02:00"
"23096","Banana Lounge & Hammock Forest","Come relax! Open 24 hours! \nNo Shoes inside!","Diversity & Inclusion,Self Care","Banana Hammocks","2026-06-06T00:00:00","2026-06-07T00:00:00","Saturday - All Day","Sat, Jun 6","Midnight (24hrs)","00:00","00:00"
"22997","Gifting Table","Gifting Table for people to enjoy","Arts & Crafts","Grotto - Open Community Space","2026-06-06T09:00:00","2026-06-06T21:00:00","Saturday 9am-9pm (12hrs)","Sat, Jun 6","9am (12hrs)","09:00","21:00"
