Who is hosting? Theme Camp or Your name,What shall we call your Event?,"Not a Theme Camp? Please give us a location (art installation, lakeside, effigy, temple.. etc)",Which day(s) will your event take place?,What time will your event start?,What time will your event end?,Select a theme of your event for Pocket Guide!,Description of your play-learn-workshop-event for the Pocket Guide!,"If Materials Are Used, Will You Provide Them?"
,Pickle Back Happy Hour,The Thrifty Pickle,"Friday, June 5",05:00:00 PM,07:00:00 PM,Food,"Come join us for pickle back happy hour! Have a shot of room temp whiskey followed by a shot of our finest ice cold pickle juice while you browse the shop or hang at the bar. We’ll keep the drinks flowing while supplies last, you just bring the cup!",
,Tea Service in The Grotto,Grotto - Open Community Space,"Friday, June 5",05:00:00 PM,07:00:00 PM,Food,This year the Tea Monks will providing a mobile tea service. come have tea with a tea monk in the beautiful Grotto. or find us pedaling around The Moon.,
,Cheese Tasting,The French Quarter,"Friday, June 5",06:00:00 PM,07:30:00 PM,Food,Come to the French Quarter to taste a selection of fancy and interesting cheeses you may not have tried before!,
,Fire Safety Meeting,Effigy Burn Field,"Friday, June 5",06:00:00 PM,07:00:00 PM,Workshop,"Fire performers must attend one of the fire safety meetingsand obtain a piece of Conclave swag. This swag will enable you to spin fire throughout the burn in the various camps and participate in the Conclave Saturday night. \n\nFire performers must only fire perform in designated performance areas separated from the crowd under the supervision of an aware, trained safety with blanket in hand or on the ground in front of them. Before each burn, check that your physical state (props, fuel, skills, wind speed, and clothing) and mental state (sober!) are appropriate. All Conclave participants (fire performers and fire safety volunteers, new and experienced) must attend one of the fire safety meetings listed below at the effigy field, and please bring fuel donations. There will be live fire demonstrations, so please wear fire-safe clothing.\n\nFor all these meetings and events, bring your safeties! New or veteran, we would be overjoyed for you to spin fire with us!",
,Too Many Clowns,The Thrifty Pickle,"Friday, June 5",06:00:00 PM,07:30:00 PM,Party,"Are you down to clown? Prove it! Put on your big ol’ shoes and join us! Meet up at 6, walkabout at 7",
,open mic,A Little Bit All Over The Place,"Friday, June 5",06:00:00 PM,09:00:00 PM,Music,we will be hosting an open mic while cooking and serving food.,
,Brother Jon's Birthday,Heathen Life,"Friday, June 5",07:00:00 PM,08:00:00 PM,Food,"Do you know Brother Jon (once known as Beef Supreme,)? Did you know he's a year older as of June 5th? Well, now you do and you are invited to his birthday party. There will be music, booze, snacks, merry making, and Brother Jon.",
,Get Glow'd,ReConnect Camp,"Friday, June 5",07:00:00 PM,08:30:00 PM,Workshop,"Humans already bioluminesce, just too softly to see. Let's make it visible. Come reconnect with your inner light through glow in the dark paints. \n\nPaint yourself, paint your clothes, paint your friends. Or adorn with henna for a different kind of glow.",
,Open Arena!!,Kamp Khaos Arena,"Friday, June 5",07:00:00 PM,11:00:00 PM,Game,"The gates of the Arena open and the Mob goes wild! Gladiator Warz has been released upon the burn! Come on down and beat your opponents senseless in the best adult bopper game of the East coast! Choose helmet, armor, and weapons to get in the ring and DOMINATE!",
,Make-Your-Own Ramen Bar,Wayward Bud,"Friday, June 5",08:00:00 PM,02:00:00 AM,Food,"Warm up at Wayward Bud’s late-night Make-Your-Own Ramen Bar! Enjoy a wide selection of instant noodles, delicious toppings, and a variety of options to accommodate dietary restrictions and allergies. All self-serve.\n Just bring your own bowl and utensils!",
,Soup!!!! Soup!!!!,A Little Bit All Over The Place,"Friday, June 5",08:00:00 PM,09:00:00 PM,Food,"Ever night you can join us for dinner, usually we make delicous soups and stews.  Dinner starts whenever food is done and ends whenever we run out.",
,Pho Me Daddy - POWER HOUR!,Fantasy Island,"Friday, June 5",09:00:00 PM,11:00:00 PM,Food,"Set sail for Fantasy Island and join us for the ""Pho Me Daddy Power Hour!"" Come dive into a delicious bowl of vegan pho Friday night at 9 PM. Please BYO bowl/utensils. Fantasy Island, we'll be wading.",
,Haunted House,Big Spooky Energy,"Friday, June 5",10:00:00 PM,12:00:00 AM,Other,"Come check out our walk through haunted house filled with illusions, animatronics, and live actors.",
,Banana Lounge & Hammock Forest,Banana Hammocks,"Saturday, June 6",12:00:00 AM,12:00:00 AM,Event,Come relax! Open 24 hours! \nNo Shoes inside!,
,Gifting Table,Grotto - Open Community Space,"Saturday, June 6",09:00:00 AM,09:00:00 PM,Workshop,Gifting Table for people to enjoy,
,Saturday Morning Cartoons,Fuzzy Wuzzy,"Saturday, June 6",09:00:00 AM,11:00:00 AM,Party,"Come join us for Saturday morning cartoons on our very own fuzzy wuzzy network! We'll have cereal, coffee, and plenty of comfy spots on the rug to relive those classic early morning cartoons and fight over the remote.",
,Breakfast delights,A Little Bit All Over The Place,"Saturday, June 6",10:00:00 AM,11:00:00 AM,Food,"More spontaneously times than dinner, come join us for breakfast. Food will be done a few hours after Ithr cook wakes up until we run out of food.",
,Ice Sales 🧊,DPW (Dept of Public Works),"Saturday, June 6",10:00:00 AM,02:00:00 PM,Other,"7lb bags of ice will be available for purchase at $5 Thursday through Sunday from 10–7pm adjacent to the quartermaster. Price and bag size subject to change based on availability. Cash, tap to pay, or Venmo, are accepted.",
,"Morning Breathwork, Meditation, and Slo-Flow Yoga",Sunshine Yoga Cafe,"Saturday, June 6",10:00:00 AM,11:00:00 AM,Chill,"This is your time for an internal reset and a space to find complete calm. \n\nBring your yoga mat and sit under our canopy for breathwork, meditation, and yin yoga. We will gently stretch our minds and bodies, allowing us to fully welcome in all that this beautiful day has to offer.",
,Elven Elixirs,ReConnect Camp,"Saturday, June 6",11:00:00 AM,03:00:00 PM,Food,Do you party too hard? Or just need some rejuvenation? Your resident elven herbalist has your back. I've got TCM teas made to bring you back to life and sweeter treats like rose falooda to lift your spirits. 11am til we run out. Come by each day for different elixirs. Water station always available.,
,"The Evolving Edge: Kink, Connection, and the Long-Term Partnership",Sensua,"Saturday, June 6",11:00:00 AM,01:00:00 PM,Workshop,"Midday Lightly Guided Conversation\n\nWhen you’ve been together for years, and playing together for just as long, the conversation changes. It’s no longer about discovery in the beginner sense; it’s about evolution.\n\nHow do our kinks shift as our bodies change? How do we stay open to new energy when we share domestic life? How do we mediate shared history? \n\nJoin us for a relaxed, lightly facilitated midday honest conversation with other long-term partners.\n\nWe hope to go beyond the basics and discuss the nuances of a seasoned kink life:\n•The Integration Phase: Moving past scene night and looking at how power, play, and intimacy weave into the fabric of a long-term life.\n•The Changing Body: Navigating physical shifts, energy levels, and new boundaries with grace and creativity.\n•Deepening the Script: Breaking out of autopilot play and finding new edges within a familiar partnership.\n•Emotional Sustainability: Managing the Aftercare of a decade-long relationship.\n\nThis is a peer-level space for couples who are already active and looking for a thoughtful,  environment to talk shop. We provide the prompts and the structure; you provide the lived experience.\n\nExpect a friendly, high-trust atmosphere where the goal isn't to fix anything, but to honor where you’ve been and explore where you’re going next.",
,Slow Vinyasa Flow,Sunshine Yoga Cafe,"Saturday, June 6",11:15:00 AM,12:15:00 PM,Chill,"Bring your yoga mat and give yourself permission to slow down. \n\nIn this practice, we explore deep presence and juicy, rhythmic movement. \n\nBy slowing down the flow, we create space to breathe deeper, hold poses longer, and honor exactly what our bodies need.",
,"Come as you are, flow as you go - open flow with music and friends",Flow As You Go,"Saturday, June 6",12:00:00 PM,08:00:00 PM,Music,"Flow as you go is an interactive collaboration of flow, musical, and visual arts, and we invite you to come as you are, flow as you go! We have djs spinning chill music daily from 12-8pm. So bring some props and enjoy a shaded flow space, or cool off in our oasis  While our flow area will only feature live music from 12-8pm, please note we do have a flow area for use anytime of day!",
,Fiesta pickles on a stick!,Bear Necessities,"Saturday, June 6",12:00:00 PM,01:00:00 PM,Food,"Swing by the Bear Necessities for a Fiesta pickle on a stick! loads of flavors! mild or spicy available! Will have sweet tea! available until we run out, so get there on time!",
,Intermediate Poi on Purpose,Flow As You Go,"Saturday, June 6",12:00:00 PM,01:00:00 PM,Workshop,Intermediate Poi on Purpose\nw/ Yams,
,Misting station and Igloo!,Bear Necessities,"Saturday, June 6",12:00:00 PM,05:00:00 PM,Chill,will have misters for you to walk through to cool off! We also have an air-conditioned igloo you can go in to hide from the heat and sun!,
,Mid-Day Meditation,Sunshine Yoga Cafe,"Saturday, June 6",12:15:00 PM,01:00:00 PM,Chill,"Drop into your highest self with this midday group meditation with your Sangha- your community. Gather under the shade of our canopy to pause, breathe, and realign. \n\nBring your yoga mat and take a break from the midday sun.",
,Figure Drawing and Chill,Heathen Life,"Saturday, June 6",01:00:00 PM,02:00:00 PM,Workshop,"For those who would like to practice drawing the human form! We will draw people in different poses over varying periods of time. Paper, pencils, and clipboards will be provided. People are encouraged to volunteer to model (you don't have to be nude unless you want to!). It's just chilling and drawing.",
,Bare & Boozy Cocktail Hour,Nudie Misfits,"Saturday, June 6",02:00:00 PM,03:00:00 PM,Food,"Shed your inhibitions (and anything else) for the most liberating happy hour, where birthday suits are encouraged and the drinks flow as freely as the radical self-expression.\nSip cocktails and toast to body positivity, good vibes, and questionable tan lines. No shirt, no shoes, bare butt — no problem!",
,Beginner/Intermediate Duel Dynamics,Flow As You Go,"Saturday, June 6",02:00:00 PM,03:00:00 PM,Workshop,Beginner/Intermediate Duel Dynamics\nFans & Doublehoops w/ Glytch,
,Fire Safety Meeting,Effigy Burn Field,"Saturday, June 6",02:00:00 PM,03:00:00 PM,Workshop,"Fire performers must attend one of the fire safety meetingsand obtain a piece of Conclave swag. This swag will enable you to spin fire throughout the burn in the various camps and participate in the Conclave Saturday night. \n\nFire performers must only fire perform in designated performance areas separated from the crowd under the supervision of an aware, trained safety with blanket in hand or on the ground in front of them. Before each burn, check that your physical state (props, fuel, skills, wind speed, and clothing) and mental state (sober!) are appropriate. All Conclave participants (fire performers and fire safety volunteers, new and experienced) must attend one of the fire safety meetings listed below at the effigy field, and please bring fuel donations. There will be live fire demonstrations, so please wear fire-safe clothing.\n\nFor all these meetings and events, bring your safeties! New or veteran, we would be overjoyed for you to spin fire with us!",
